first_field;image_html;french;french_audio_html;spanish
accident - french;"<img src=""vocab-accident.jpg"">";accident;[sound:vocab-french-accident.mp3];accidente
actor - french;"<img src=""vocab-actor.jpg"">";acteur;[sound:vocab-french-acteur.mp3];actor
adult - french;"<img src=""vocab-adult.jpg"">";adulte;[sound:vocab-french-adulte.mp3];adulto
afternoon - french;"<img src=""vocab-afternoon.jpg"">";après-midi;[sound:vocab-french-après-midi.mp3];tarde
air - french;"<img src=""vocab-air.jpg"">";air;[sound:vocab-french-air.mp3];aire
airport - french;"<img src=""vocab-airport.jpg"">";aéroport;[sound:vocab-french-aéroport.mp3];aeropuerto
alive - french;"<img src=""vocab-alive.jpg"">";vivant;[sound:vocab-french-vivant.mp3];vivo
alone - french;"<img src=""vocab-alone.jpg"">";seul;[sound:vocab-french-seul.mp3];solo
animal - french;"<img src=""vocab-animal.jpg"">";animal;[sound:vocab-french-animal.mp3];animal
answer - french;"<img src=""vocab-answer.jpg"">";répondre;[sound:vocab-french-répondre.mp3];contestar
apartment - french;"<img src=""vocab-apartment.jpg"">";appartement;[sound:vocab-french-appartement.mp3];apartamento
apple - french;"<img src=""vocab-apple.jpg"">";pomme;[sound:vocab-french-pomme.mp3];manzana
April - french;"<img src=""vocab-April.jpg"">";avril;[sound:vocab-french-avril.mp3];abril
arm - french;"<img src=""vocab-arm.jpg"">";bras;[sound:vocab-french-bras.mp3];brazo
army - french;"<img src=""vocab-army.jpg"">";armée;[sound:vocab-french-armée.mp3];ejército
art - french;"<img src=""vocab-art.jpg"">";art;[sound:vocab-french-art.mp3];arte
artist - french;"<img src=""vocab-artist.jpg"">";artiste;[sound:vocab-french-artiste.mp3];artista
ask - french;"<img src=""vocab-ask.jpg"">";demander;[sound:vocab-french-demander.mp3];preguntar
attack - french;"<img src=""vocab-attack.jpg"">";attaque;[sound:vocab-french-attaque.mp3];ataque
August - french;"<img src=""vocab-August.jpg"">";août;[sound:vocab-french-août.mp3];agosto
author - french;"<img src=""vocab-author.jpg"">";auteur;[sound:vocab-french-auteur.mp3];autor
baby - french;"<img src=""vocab-baby.jpg"">";bébé;[sound:vocab-french-bébé.mp3];bebé
back (body) - french;"<img src=""vocab-back (body).jpg"">";dos;[sound:vocab-french-dos.mp3];espalda
back (direction) - french;"<img src=""vocab-back (direction).jpg"">";arrière;[sound:vocab-french-arrière.mp3];atrás
bad - french;"<img src=""vocab-bad.jpg"">";mal;[sound:vocab-french-mal.mp3];malo
bag - french;"<img src=""vocab-bag.jpg"">";sac;[sound:vocab-french-sac.mp3];bolso
ball - french;"<img src=""vocab-ball.jpg"">";balle;[sound:vocab-french-balle.mp3];pelota
banana - french;"<img src=""vocab-banana.jpg"">";banane;[sound:vocab-french-banane.mp3];plátano
band - french;"<img src=""vocab-band.jpg"">";bande;[sound:vocab-french-bande.mp3];banda
bank - french;"<img src=""vocab-bank.jpg"">";banque;[sound:vocab-french-banque.mp3];banco
bar - french;"<img src=""vocab-bar.jpg"">";bar;[sound:vocab-french-bar.mp3];bar
bathroom - french;"<img src=""vocab-bathroom.jpg"">";salle de bain;[sound:vocab-french-salle de bain.mp3];baño
beach - french;"<img src=""vocab-beach.jpg"">";plage;[sound:vocab-french-plage.mp3];playa
beard - french;"<img src=""vocab-beard.jpg"">";barbe;[sound:vocab-french-barbe.mp3];barba
beat - french;"<img src=""vocab-beat.jpg"">";battre;[sound:vocab-french-battre.mp3];derrotar
beautiful - french;"<img src=""vocab-beautiful.jpg"">";belle;[sound:vocab-french-belle.mp3];hermoso
bed - french;"<img src=""vocab-bed.jpg"">";lit;[sound:vocab-french-lit.mp3];cama
bedroom - french;"<img src=""vocab-bedroom.jpg"">";chambre à coucher;[sound:vocab-french-chambre à coucher.mp3];habitación
beef - french;"<img src=""vocab-beef.jpg"">";boeuf;[sound:vocab-french-boeuf.mp3];carne de vaca
beer - french;"<img src=""vocab-beer.jpg"">";bière;[sound:vocab-french-bière.mp3];cerveza
bend - french;"<img src=""vocab-bend.jpg"">";plier;[sound:vocab-french-plier.mp3];doblar
beverage - french;"<img src=""vocab-beverage.jpg"">";boisson;[sound:vocab-french-boisson.mp3];bebida
bicycle - french;"<img src=""vocab-bicycle.jpg"">";vélo;[sound:vocab-french-vélo.mp3];bicicleta
big - french;"<img src=""vocab-big.jpg"">";grand;[sound:vocab-french-grand.mp3];grande
bill - french;"<img src=""vocab-bill.jpg"">";facture;[sound:vocab-french-facture.mp3];cuenta
billion - french;"<img src=""vocab-billion.jpg"">";milliard;[sound:vocab-french-milliard.mp3];mil millones
bird - french;"<img src=""vocab-bird.jpg"">";oiseau;[sound:vocab-french-oiseau.mp3];pájaro
black - french;"<img src=""vocab-black.jpg"">";noir;[sound:vocab-french-noir.mp3];negro
blind - french;"<img src=""vocab-blind.jpg"">";aveugle;[sound:vocab-french-aveugle.mp3];ciego
blood - french;"<img src=""vocab-blood.jpg"">";sang;[sound:vocab-french-sang.mp3];sangre
blue - french;"<img src=""vocab-blue.jpg"">";bleu;[sound:vocab-french-bleu.mp3];azul
boat - french;"<img src=""vocab-boat.jpg"">";bateau;[sound:vocab-french-bateau.mp3];bote
body - french;"<img src=""vocab-body.jpg"">";corps;[sound:vocab-french-corps.mp3];cuerpo
bone - french;"<img src=""vocab-bone.jpg"">";os;[sound:vocab-french-os.mp3];hueso
book - french;"<img src=""vocab-book.jpg"">";livre;[sound:vocab-french-livre.mp3];libro
bottle - french;"<img src=""vocab-bottle.jpg"">";bouteille;[sound:vocab-french-bouteille.mp3];botella
bottom - french;"<img src=""vocab-bottom.jpg"">";bas;[sound:vocab-french-bas.mp3];fondo
box - french;"<img src=""vocab-box.jpg"">";boîte;[sound:vocab-french-boîte.mp3];caja
boy - french;"<img src=""vocab-boy.jpg"">";garçon;[sound:vocab-french-garçon.mp3];muchacho
brain - french;"<img src=""vocab-brain.jpg"">";cerveau;[sound:vocab-french-cerveau.mp3];cerebro
bread - french;"<img src=""vocab-bread.jpg"">";pain;[sound:vocab-french-pain.mp3];pan
break - french;"<img src=""vocab-break.jpg"">";pause;[sound:vocab-french-pause.mp3];romper
breakfast - french;"<img src=""vocab-breakfast.jpg"">";petit-déjeuner;[sound:vocab-french-petit-déjeuner.mp3];desayuno
bridge - french;"<img src=""vocab-bridge.jpg"">";pont;[sound:vocab-french-pont.mp3];puente
bring - french;"<img src=""vocab-bring.jpg"">";apporter;[sound:vocab-french-apporter.mp3];traer
brother - french;"<img src=""vocab-brother.jpg"">";frère;[sound:vocab-french-frère.mp3];hermano
brown - french;"<img src=""vocab-brown.jpg"">";marron;[sound:vocab-french-marron.mp3];marrón
build - french;"<img src=""vocab-build.jpg"">";construire;[sound:vocab-french-construire.mp3];construir
building - french;"<img src=""vocab-building.jpg"">";bâtiment;[sound:vocab-french-bâtiment.mp3];edificio
burn - french;"<img src=""vocab-burn.jpg"">";brûler;[sound:vocab-french-brûler.mp3];quemar
