first_field;image_html;portuguese;portuguese_audio_html
accident - portuguese;"<img src=""vocab-accident.jpg"">";acidente;[sound:vocab-portuguese-acidente.mp3]
actor - portuguese;"<img src=""vocab-actor.jpg"">";ator;[sound:vocab-portuguese-ator.mp3]
adult - portuguese;"<img src=""vocab-adult.jpg"">";adulto;[sound:vocab-portuguese-adulto.mp3]
afternoon - portuguese;"<img src=""vocab-afternoon.jpg"">";tarde;[sound:vocab-portuguese-tarde.mp3]
air - portuguese;"<img src=""vocab-air.jpg"">";ar;[sound:vocab-portuguese-ar.mp3]
airport - portuguese;"<img src=""vocab-airport.jpg"">";aeroporto;[sound:vocab-portuguese-aeroporto.mp3]
alive - portuguese;"<img src=""vocab-alive.jpg"">";vivo;[sound:vocab-portuguese-vivo.mp3]
alone - portuguese;"<img src=""vocab-alone.jpg"">";sozinho;[sound:vocab-portuguese-sozinho.mp3]
angle - portuguese;"<img src=""vocab-angle.jpg"">";ângulo;[sound:vocab-portuguese-ângulo.mp3]
animal - portuguese;"<img src=""vocab-animal.jpg"">";animal;[sound:vocab-portuguese-animal.mp3]
answer - portuguese;"<img src=""vocab-answer.jpg"">";responder;[sound:vocab-portuguese-responder.mp3]
ant - portuguese;"<img src=""vocab-ant.jpg"">";formiga;[sound:vocab-portuguese-formiga.mp3]
apartment - portuguese;"<img src=""vocab-apartment.jpg"">";apartamento;[sound:vocab-portuguese-apartamento.mp3]
apple - portuguese;"<img src=""vocab-apple.jpg"">";maçã;[sound:vocab-portuguese-maçã.mp3]
April - portuguese;"<img src=""vocab-April.jpg"">";abril;[sound:vocab-portuguese-abril.mp3]
arch - portuguese;"<img src=""vocab-arch.jpg"">";arco;[sound:vocab-portuguese-arco.mp3]
arm - portuguese;"<img src=""vocab-arm.jpg"">";braço;[sound:vocab-portuguese-braço.mp3]
army - portuguese;"<img src=""vocab-army.jpg"">";exército;[sound:vocab-portuguese-exército.mp3]
art - portuguese;"<img src=""vocab-art.jpg"">";arte;[sound:vocab-portuguese-arte.mp3]
artist - portuguese;"<img src=""vocab-artist.jpg"">";artista;[sound:vocab-portuguese-artista.mp3]
ask - portuguese;"<img src=""vocab-ask.jpg"">";perguntar;[sound:vocab-portuguese-perguntar.mp3]
attack - portuguese;"<img src=""vocab-attack.jpg"">";ataque;[sound:vocab-portuguese-ataque.mp3]
August - portuguese;"<img src=""vocab-August.jpg"">";agosto;[sound:vocab-portuguese-agosto.mp3]
