word;image;image_html;english;spanish;portuguese;french;french_audio;french_audio_html
twenty-one;vocab-twenty-one.jpg;"<img src=""vocab-twenty-one.jpg"">";twenty-one;veintiuno;vinte e um;vingt-et-un;vocab-french-vingt-et-un.mp3;[sound:vocab-french-vingt-et-un.mp3]
bring;vocab-bring.jpg;"<img src=""vocab-bring.jpg"">";bring;traer;trazer;apporter;vocab-french-apporter.mp3;[sound:vocab-french-apporter.mp3]
come;vocab-come.jpg;"<img src=""vocab-come.jpg"">";come;venir;vir;venir;vocab-french-venir.mp3;[sound:vocab-french-venir.mp3]
give;vocab-give.jpg;"<img src=""vocab-give.jpg"">";give;dar;dar;donner;vocab-french-donner.mp3;[sound:vocab-french-donner.mp3]
take;vocab-take.jpg;"<img src=""vocab-take.jpg"">";take;recibir;receber;recevoir;vocab-french-recevoir.mp3;[sound:vocab-french-recevoir.mp3]
here;vocab-here.jpg;"<img src=""vocab-here.jpg"">";here;aquí;aqui;ici;vocab-french-ici.mp3;[sound:vocab-french-ici.mp3]
there;vocab-there.jpg;"<img src=""vocab-there.jpg"">";there;allá;lá;là;vocab-french-là.mp3;[sound:vocab-french-là.mp3]
scared;vocab-scared.jpg;"<img src=""vocab-scared.jpg"">";scared;asustado;assustado;effrayé;vocab-french-effrayé.mp3;[sound:vocab-french-effrayé.mp3]
want;vocab-want.jpg;"<img src=""vocab-want.jpg"">";want;querer;quer;vouloir;vocab-french-vouloir.mp3;[sound:vocab-french-vouloir.mp3]
easy;vocab-easy.jpg;"<img src=""vocab-easy.jpg"">";easy;fácil;fácil;facile;vocab-french-facile.mp3;[sound:vocab-french-facile.mp3]
difficult;vocab-difficult.jpg;"<img src=""vocab-difficult.jpg"">";difficult;difícil;difícil;difficile;vocab-french-difficile.mp3;[sound:vocab-french-difficile.mp3]
lucky;vocab-lucky.jpg;"<img src=""vocab-lucky.jpg"">";lucky;suertudo;afortunado;chanceux;vocab-french-chanceux.mp3;[sound:vocab-french-chanceux.mp3]
funny;vocab-funny.jpg;"<img src=""vocab-funny.jpg"">";funny;divertido;engraçado;drôle;vocab-french-drôle.mp3;[sound:vocab-french-drôle.mp3]
alone;vocab-alone.jpg;"<img src=""vocab-alone.jpg"">";alone;solo;sozinho;seul;vocab-french-seul.mp3;[sound:vocab-french-seul.mp3]
together;vocab-together.jpg;"<img src=""vocab-together.jpg"">";together;juntos;juntos;ensemble;vocab-french-ensemble.mp3;[sound:vocab-french-ensemble.mp3]
free;vocab-free.jpg;"<img src=""vocab-free.jpg"">";free;libre;livre;libre;vocab-french-libre.mp3;[sound:vocab-french-libre.mp3]
message;vocab-message.jpg;"<img src=""vocab-message.jpg"">";message;mensaje;mensagem;message;vocab-french-message.mp3;[sound:vocab-french-message.mp3]
accident;vocab-accident.jpg;"<img src=""vocab-accident.jpg"">";accident;accidente;acidente;accident;vocab-french-accident.mp3;[sound:vocab-french-accident.mp3]
wait;vocab-wait.jpg;"<img src=""vocab-wait.jpg"">";wait;esperar;esperar;attendre;vocab-french-attendre.mp3;[sound:vocab-french-attendre.mp3]
lost;vocab-lost.jpg;"<img src=""vocab-lost.jpg"">";lost;perdido;perdido;perdu;vocab-french-perdu.mp3;[sound:vocab-french-perdu.mp3]
idea;vocab-idea.jpg;"<img src=""vocab-idea.jpg"">";idea;idea;ideia;idée;vocab-french-idée.mp3;[sound:vocab-french-idée.mp3]
remember;vocab-remember.jpg;"<img src=""vocab-remember.jpg"">";remember;recordar;lembrar;se souvenir;vocab-french-se souvenir.mp3;[sound:vocab-french-se souvenir.mp3]
put;vocab-put.jpg;"<img src=""vocab-put.jpg"">";put;colocar;colocar;mettre;vocab-french-mettre.mp3;[sound:vocab-french-mettre.mp3]
escape;vocab-escape.jpg;"<img src=""vocab-escape.jpg"">";escape;escapar;escapar;s'échapper;vocab-french-s'échapper.mp3;[sound:vocab-french-s'échapper.mp3]
religion;vocab-religion.jpg;"<img src=""vocab-religion.jpg"">";religion;religión;religião;religion;vocab-french-religion.mp3;[sound:vocab-french-religion.mp3]
language;vocab-language.jpg;"<img src=""vocab-language.jpg"">";language;idioma;idioma;langue;vocab-french-langue.mp3;[sound:vocab-french-langue.mp3]
history;vocab-history.jpg;"<img src=""vocab-history.jpg"">";history;historia;história;histoire;vocab-french-histoire.mp3;[sound:vocab-french-histoire.mp3]
government;vocab-government.jpg;"<img src=""vocab-government.jpg"">";government;gobierno;governo;gouvernement;vocab-french-gouvernement.mp3;[sound:vocab-french-gouvernement.mp3]
ask;vocab-ask.jpg;"<img src=""vocab-ask.jpg"">";ask;preguntar;perguntar;demander;vocab-french-demander.mp3;[sound:vocab-french-demander.mp3]
answer;vocab-answer.jpg;"<img src=""vocab-answer.jpg"">";answer;contestar;responda;répondre;vocab-french-répondre.mp3;[sound:vocab-french-répondre.mp3]
far;vocab-far.jpg;"<img src=""vocab-far.jpg"">";far;lejos;longe;loin;vocab-french-loin.mp3;[sound:vocab-french-loin.mp3]
near;vocab-near.jpg;"<img src=""vocab-near.jpg"">";near;cerca;perto;proche;vocab-french-proche.mp3;[sound:vocab-french-proche.mp3]
last;vocab-last.jpg;"<img src=""vocab-last.jpg"">";last;último;último;dernier;vocab-french-dernier.mp3;[sound:vocab-french-dernier.mp3]
